"site","year","sp","ab"
"NLA12_CA-143",2012,4549,3
"NLA12_CA-143",2012,4416,90
"NLA12_CA-143",2012,4771,9
"NLA12_CA-143",2012,4666,67
"NLA12_CA-143",2012,4183,1
"NLA12_CA-143",2012,4557,1
"NLA12_CA-143",2012,4677,343
"NLA12_CA-143",2012,4766,104
"NLA12_CA-143",2012,4875,2
"NLA12_CA-143",2012,4593,25
"NLA12_CA-143",2012,4732,32
"NLA12_CA-143",2012,4411,35
"NLA12_AZ-101",2012,4183,25
"NLA12_AZ-101",2012,4874,35
"NLA12_AZ-101",2012,4445,3
"NLA12_AZ-101",2012,4619,16
"NLA12_AZ-101",2012,4532,30
"NLA12_AZ-101",2012,4679,12
"NLA12_AZ-101",2012,4568,92
"NLA12_AZ-101",2012,4214,1
"NLA12_AZ-101",2012,4794,3
"NLA12_AZ-101",2012,4756,47
"NLA12_AZ-101",2012,4766,360
"NLA12_AZ-101",2012,4322,5
"NLA12_AZ-101",2012,4343,21
"NLA12_AZ-101",2012,4562,1
"NLA12_AZ-101",2012,4557,2
"NLA12_AZ-101",2012,4510,9
"NLA12_AZ-101",2012,4593,4
"NLA12_AZ-101",2012,4443,1
"NLA12_AZ-101",2012,4575,202
"NLA12_AZ-101",2012,4364,11
"NLA12_AZ-101",2012,4352,6
"NLA12_AZ-101",2012,4332,1
"NLA12_AZ-101",2012,4360,12
"NLA12_AZ-101",2012,4475,44
"NLA12_AZ-101",2012,4736,161
"NLA12_AZ-101",2012,4330,3
"NLA12_ND-115",2012,4874,112
"NLA12_ND-115",2012,4622,552
"NLA12_ND-115",2012,4055,3
"NLA12_ND-115",2012,4183,2
"NLA12_ND-115",2012,4557,5
"NLA12_ND-115",2012,4181,3
"NLA12_ND-115",2012,4559,1042
"NLA12_ND-115",2012,4666,83
"NLA12_ND-115",2012,4139,4
"NLA12_ND-115",2012,4182,43
"NLA12_ND-115",2012,4475,4
"NLA12_UT-103",2012,4181,70
"NLA12_UT-103",2012,4557,4
"NLA12_UT-103",2012,4095,30
"NLA12_UT-103",2012,4182,2
"NLA12_UT-103",2012,4875,1
"NLA12_UT-103",2012,4794,6
"NLA12_UT-103",2012,4183,8
"NLA12_UT-103",2012,4562,54
"NLA12_UT-103",2012,4582,4
"NLA12_UT-103",2012,4759,10
"NLA12_UT-103",2012,4532,252
"NLA12_UT-103",2012,4849,27
"NLA12_UT-103",2012,4075,6
"NLA12_AZ-130",2012,4475,24
"NLA12_AZ-130",2012,4388,4
"NLA12_AZ-130",2012,4332,1
"NLA12_AZ-130",2012,4582,99
"NLA12_AZ-130",2012,4568,161
"NLA12_AZ-130",2012,4214,2
"NLA12_AZ-130",2012,4666,17
"NLA12_AZ-130",2012,4366,97
"NLA12_AZ-130",2012,4669,125
"NLA12_AZ-130",2012,4842,5
"NLA12_AZ-130",2012,4442,4
"NLA12_AZ-130",2012,4875,2
"NLA12_AZ-130",2012,4532,10
"NLA12_AZ-130",2012,4736,94
"NLA12_AZ-130",2012,4647,558
"NLA12_AZ-130",2012,4183,9
"NLA12_AZ-130",2012,4728,12
"NLA12_AZ-130",2012,4182,4
"NLA12_AZ-130",2012,4364,1
"NLA12_AZ-130",2012,4739,11
"NLA12_AZ-130",2012,4557,3
"NLA12_AZ-130",2012,4686,24
"NLA12_AZ-130",2012,4674,30
"NLA12_AZ-130",2012,4343,144
"NLA12_AZ-130",2012,4790,7
"NLA12_AZ-130",2012,4667,100
"NLA12_AZ-130",2012,4445,10
"NLA12_AZ-130",2012,4675,251
"NLA12_AZ-130",2012,4355,8
"NLA12_FL-101",2012,4723,161
"NLA12_FL-101",2012,4353,1
"NLA12_FL-101",2012,4736,8
"NLA12_FL-101",2012,4366,5
"NLA12_FL-101",2012,4798,4
"NLA12_FL-101",2012,4323,27
"NLA12_FL-101",2012,4364,1
"NLA12_FL-101",2012,4617,96
"NLA12_FL-101",2012,4842,1
"NLA12_FL-101",2012,4250,4
"NLA12_FL-101",2012,4874,6
"NLA12_FL-101",2012,4023,53
"NLA12_FL-101",2012,4616,21
"NLA12_FL-101",2012,4388,8
"NLA12_FL-101",2012,4510,11
"NLA12_FL-101",2012,4183,4
"NLA12_FL-101",2012,4875,1
"NLA12_FL-101",2012,4725,64
"NLA12_FL-101",2012,4557,39
"NLA12_FL-101",2012,4475,28
"NLA12_FL-101",2012,4182,7
"NLA12_UT-101",2012,4220,88
"NLA12_UT-101",2012,4732,43
"NLA12_UT-101",2012,4700,170
"NLA12_UT-101",2012,4395,2
"NLA12_UT-101",2012,4721,20
"NLA12_UT-101",2012,4183,31
"NLA12_UT-101",2012,4559,2
"NLA12_UT-101",2012,4875,3
"NLA12_UT-101",2012,4736,68
"NLA12_UT-101",2012,4557,7
"NLA12_UT-101",2012,4075,16
"NLA12_UT-101",2012,4794,10
"NLA12_UT-101",2012,4790,5
"NLA12_UT-101",2012,4874,6
"NLA12_UT-101",2012,4816,1
"NLA12_UT-101",2012,4545,188
"NLA12_UT-101",2012,4095,66
"NLA12_UT-101",2012,4850,5
"NLA12_ND-112",2012,4874,1
"NLA12_ND-112",2012,4559,126
"NLA12_ND-112",2012,4168,1
"NLA12_ND-112",2012,4416,11
"NLA12_ND-112",2012,4388,36
"NLA12_ND-112",2012,4766,401
"NLA12_ND-112",2012,4438,35
"NLA12_ND-112",2012,4343,12
"NLA12_ND-112",2012,4679,192
